uptime_s,temp_mc,khz,gov,batt,load1,charge_uah,volt_uv
1228,36408,1800000,schedutil,25,2.10,750,3533000
1248,35872,1800000,schedutil,25,2.00,750,3526000
1269,35939,1608000,schedutil,24,2.02,720,3528000
1289,36341,1800000,schedutil,24,1.94,720,3511000
1310,36207,1800000,schedutil,24,1.96,720,3532000
1330,36274,1800000,schedutil,24,1.76,720,3533000
1351,37011,1800000,schedutil,24,1.81,720,3508000
1371,36743,1800000,schedutil,24,1.95,720,3533000
1392,35537,1008000,schedutil,24,1.97,720,3517000
1412,35671,1008000,schedutil,24,1.77,720,3525000
1433,35202,1008000,schedutil,24,1.89,720,3519000
1454,35403,1008000,schedutil,24,2.00,720,3526000
1474,35805,1008000,schedutil,23,2.00,690,3522000
1495,35068,1008000,schedutil,23,2.00,690,3539000
1515,35671,1008000,schedutil,23,2.20,690,3514000
1537,36207,1008000,schedutil,23,1.99,690,3514000
1558,35671,1008000,schedutil,23,2.01,690,3512000
1707,35939,1008000,schedutil,22,1.74,660,3515000
1727,35336,1008000,schedutil,22,1.81,660,3515000
1748,36006,1008000,schedutil,22,1.94,660,3517000
1769,35671,1008000,schedutil,22,1.96,660,3515000
1789,35135,1008000,schedutil,22,1.98,660,3520000
1810,35738,1008000,schedutil,22,1.92,660,3500000
