uptime_s,temp_mc,khz,gov,batt,load1,charge_uah,volt_uv
673,35269,600000,schedutil,27,1.85,810,3531000
694,35269,600000,schedutil,27,2.10,810,3542000
714,36341,1008000,schedutil,27,2.14,810,3525000
735,35269,1008000,schedutil,27,2.39,810,3540000
755,35939,816000,schedutil,27,2.34,810,3541000
776,35805,600000,schedutil,27,2.53,810,3530000
797,35537,600000,schedutil,27,2.65,810,3543000
817,35604,1008000,schedutil,26,2.46,780,3528000
838,36006,1008000,schedutil,26,2.34,780,3537000
859,35872,1008000,schedutil,26,2.32,780,3532000
879,36408,1008000,schedutil,26,2.30,780,3534000
900,36475,1008000,schedutil,26,2.51,780,3531000
925,37480,1416000,schedutil,26,2.75,780,3525000
946,35805,600000,schedutil,26,3.14,780,3535000
966,36073,600000,schedutil,26,2.94,780,3522000
987,36073,1008000,schedutil,26,2.95,780,3535000
1008,36609,1008000,schedutil,26,2.75,780,3529000
1028,36408,1008000,schedutil,26,2.54,780,3535000
1049,37681,1200000,schedutil,25,2.46,750,3515000
1069,37212,1416000,schedutil,25,2.45,750,3529000
1090,37346,1416000,schedutil,25,2.54,750,3530000
1110,37212,1416000,schedutil,25,2.52,750,3515000
1130,37346,1416000,schedutil,25,2.38,750,3528000
1151,38217,1416000,schedutil,25,2.50,750,3524000
