uptime_s,temp_mc,khz,gov,batt,load1,charge_uah,volt_uv
114,32991,408000,schedutil,29,1.80,870,3554000
136,33192,408000,schedutil,29,1.93,870,3549000
157,33058,408000,schedutil,29,1.88,870,3547000
179,32522,408000,schedutil,29,1.70,870,3554000
199,33460,408000,schedutil,29,1.79,870,3545000
220,33594,408000,schedutil,29,1.79,870,3541000
241,33058,408000,schedutil,29,1.91,870,3545000
261,33326,408000,schedutil,29,1.85,870,3540000
282,33460,408000,schedutil,29,1.82,870,3541000
303,33125,408000,schedutil,29,1.87,870,3558000
323,33460,408000,schedutil,28,1.70,840,3542000
344,33594,408000,schedutil,28,1.72,840,3548000
365,33795,408000,schedutil,28,1.62,840,3541000
386,33594,408000,schedutil,28,1.57,840,3541000
407,34063,408000,schedutil,28,1.61,840,3535000
427,33862,408000,schedutil,28,1.63,840,3554000
448,33661,408000,schedutil,28,1.66,840,3535000
469,33862,408000,schedutil,28,1.76,840,3541000
490,33460,408000,schedutil,28,1.89,840,3540000
511,34063,408000,schedutil,28,1.91,840,3548000
533,34197,408000,schedutil,28,1.86,840,3537000
553,33929,408000,schedutil,28,2.02,840,3537000
574,33594,408000,schedutil,27,1.94,810,3534000
595,34197,408000,schedutil,27,1.97,810,3536000
