uptime_s,temp_mc,khz,gov,batt,load1,charge_uah,volt_uv
1216,37011,1416000,schedutil,73,1.60,2190,3810000
1236,37279,1200000,schedutil,73,1.51,2190,3823000
1257,37547,1008000,schedutil,73,1.58,2190,3802000
1278,37212,1008000,schedutil,73,1.71,2190,3814000
1298,37346,1008000,schedutil,73,1.58,2190,3795000
1318,36743,1008000,schedutil,73,1.57,2190,3822000
1339,37145,1008000,schedutil,73,1.56,2190,3807000
1360,37279,1008000,schedutil,73,1.61,2190,3813000
1380,37212,1416000,schedutil,73,1.73,2190,3814000
1401,37882,1416000,schedutil,73,1.87,2190,3790000
1421,37480,1416000,schedutil,73,1.78,2190,3813000
1442,37212,1200000,schedutil,73,1.92,2190,3808000
1462,37480,1008000,schedutil,73,2.01,2190,3809000
1483,36408,1008000,schedutil,73,2.01,2190,3802000
1503,37681,1008000,schedutil,73,2.01,2190,3797000
1524,37949,1008000,schedutil,73,2.25,2190,3807000
1544,37480,1008000,schedutil,72,2.18,2160,3794000
1565,37547,1008000,schedutil,72,2.12,2160,3801000
1585,37413,1008000,schedutil,72,2.09,2160,3803000
1606,37279,1008000,schedutil,72,2.09,2160,3811000
1626,36743,1008000,schedutil,72,2.07,2160,3795000
1647,37011,1008000,schedutil,72,1.97,2160,3804000
1668,38150,1008000,schedutil,72,1.85,2160,3778000
1688,37547,1008000,schedutil,72,1.89,2160,3806000
