uptime_s,temp_mc,khz,gov,batt,load1,charge_uah,volt_uv
104,38284,408000,schedutil,77,1.51,2310,3840000
125,38284,408000,schedutil,77,1.79,2310,3851000
146,37815,408000,schedutil,77,1.85,2310,3848000
166,38016,408000,schedutil,77,1.77,2310,3837000
187,38016,408000,schedutil,76,1.84,2280,3839000
208,38150,408000,schedutil,76,1.74,2280,3833000
229,37547,408000,schedutil,76,1.68,2280,3832000
249,38016,408000,schedutil,76,1.63,2280,3847000
270,38284,408000,schedutil,76,1.56,2280,3831000
291,37949,408000,schedutil,76,1.60,2280,3832000
312,38351,408000,schedutil,76,1.72,2280,3846000
332,37882,408000,schedutil,76,1.72,2280,3828000
353,37882,408000,schedutil,76,1.66,2280,3828000
374,37547,408000,schedutil,76,1.69,2280,3843000
395,38485,408000,schedutil,76,1.71,2280,3831000
416,37748,408000,schedutil,76,1.80,2280,3827000
436,38150,408000,schedutil,76,1.71,2280,3829000
457,38284,408000,schedutil,76,1.65,2280,3827000
478,37614,408000,schedutil,76,1.88,2280,3826000
499,37681,408000,schedutil,76,1.85,2280,3834000
519,37882,408000,schedutil,76,1.95,2280,3824000
540,37949,408000,schedutil,76,1.83,2280,3822000
561,37882,408000,schedutil,75,1.72,2250,3835000
582,37480,408000,schedutil,75,1.72,2250,3827000
