uptime_s,temp_mc,khz,gov,batt,load1
1222,35671,1608000,schedutil,76,1.89
1243,34599,1800000,schedutil,76,1.78
1263,35068,1200000,schedutil,76,1.78
1283,34800,1008000,schedutil,76,1.64
1304,35202,1008000,schedutil,76,1.54
1324,35001,1008000,schedutil,76,1.45
1345,35336,1008000,schedutil,76,1.39
1365,35202,1008000,schedutil,76,1.75
1386,35805,1416000,schedutil,76,1.88
1406,35671,1200000,schedutil,76,1.94
1426,34867,1200000,schedutil,76,2.02
1447,35135,1008000,schedutil,76,1.92
1467,35202,1008000,schedutil,75,1.94
1488,34264,600000,schedutil,75,1.89
1508,34867,1008000,schedutil,75,1.76
1529,35403,1008000,schedutil,75,1.82
1549,35135,1008000,schedutil,75,1.87
1569,35068,1008000,schedutil,75,1.83
1590,35135,1008000,schedutil,75,1.66
1611,35269,1008000,schedutil,75,1.60
1631,33393,1008000,schedutil,75,1.60
1651,34666,1008000,schedutil,75,1.57
1672,35202,1008000,schedutil,75,1.85
1692,34666,1008000,schedutil,75,1.90
