uptime_s,temp_mc,khz,gov,batt,load1,charge_uah,volt_uv
1762,36810,1008000,schedutil,94,1.75,2820,4027000
1782,35872,1008000,schedutil,94,1.98,2820,4008000
1803,39691,1608000,schedutil,94,1.91,2820,4006000
1823,43443,1800000,schedutil,94,2.07,2820,3970000
1844,44046,1800000,schedutil,94,2.13,2820,3999000
1864,41567,1416000,schedutil,94,2.31,2820,4006000
1885,37882,1416000,schedutil,94,2.21,2820,4009000
1905,36743,1008000,schedutil,94,1.95,2820,4014000
1926,36676,1008000,schedutil,94,1.98,2820,4027000
1948,44515,1800000,schedutil,94,1.98,2820,3986000
1970,43309,1416000,schedutil,94,2.04,2820,3991000
1990,40428,1416000,schedutil,94,2.15,2820,3993000
2011,37413,1008000,schedutil,94,1.95,2820,4008000
2031,37011,1008000,schedutil,93,2.17,2790,4012000
2052,39892,1416000,schedutil,93,2.12,2790,3997000
2072,44046,1800000,schedutil,93,2.08,2790,3979000
2094,43711,1800000,schedutil,93,2.34,2790,3998000
2115,42036,1800000,schedutil,93,2.31,2790,3983000
2135,39088,1608000,schedutil,93,2.21,2790,3999000
2156,38954,1608000,schedutil,93,2.10,2790,4013000
2177,40428,1416000,schedutil,93,2.26,2790,3997000
2199,37748,1200000,schedutil,93,2.31,2790,4016000
2219,37346,1008000,schedutil,93,2.14,2790,4002000
2240,36944,1800000,schedutil,93,1.89,2790,4008000
