uptime_s,temp_mc,khz,gov,batt,load1,charge_uah,volt_uv
1211,37748,1200000,schedutil,96,2.05,2880,4024000
1232,37614,1200000,schedutil,96,1.82,2880,4020000
1252,36542,1008000,schedutil,96,1.81,2880,4037000
1273,36676,1008000,schedutil,96,1.94,2880,4024000
1293,36944,1008000,schedutil,96,1.75,2880,4025000
1314,36408,1008000,schedutil,96,1.69,2880,4026000
1334,37145,1008000,schedutil,96,1.79,2880,4025000
1355,37145,1008000,schedutil,95,1.70,2850,4031000
1375,38418,1416000,schedutil,95,1.87,2850,4021000
1396,38284,1416000,schedutil,95,1.94,2850,4018000
1417,37614,1416000,schedutil,95,1.89,2850,4021000
1438,36944,1200000,schedutil,95,1.90,2850,4007000
1458,36877,1008000,schedutil,95,2.07,2850,4030000
1479,36006,1008000,schedutil,95,1.97,2850,4017000
1499,36475,1008000,schedutil,95,2.03,2850,4033000
1520,37212,1008000,schedutil,95,2.10,2850,4017000
1541,36743,1008000,schedutil,95,2.13,2850,4031000
1561,36810,1008000,schedutil,95,2.21,2850,4015000
1582,36475,1008000,schedutil,95,2.14,2850,4035000
1602,36743,1008000,schedutil,95,2.12,2850,4032000
1623,36274,1008000,schedutil,95,2.02,2850,4020000
1643,37078,1008000,schedutil,95,1.86,2850,4024000
1664,37413,1008000,schedutil,95,1.76,2850,4017000
1684,37078,1008000,schedutil,95,1.90,2850,4031000
