uptime_s,temp_mc,khz,gov,batt,load1,charge_uah,volt_uv
660,42572,600000,schedutil,98,1.96,2940,4040000
680,41768,600000,schedutil,98,2.27,2940,4037000
701,42706,600000,schedutil,98,2.42,2940,4035000
721,41768,600000,schedutil,98,2.38,2940,4015000
742,43309,600000,schedutil,98,2.42,2940,4031000
763,43309,600000,schedutil,98,2.58,2940,4017000
783,43376,600000,schedutil,98,2.71,2940,4026000
804,42840,600000,schedutil,98,2.64,2940,4032000
824,43443,600000,schedutil,98,2.76,2940,4017000
845,43041,816000,schedutil,97,2.88,2910,4012000
866,39155,1008000,schedutil,97,2.71,2910,4022000
886,39423,1008000,schedutil,97,2.71,2910,4032000
907,39557,1008000,schedutil,97,2.58,2910,4015000
928,41902,600000,schedutil,97,2.72,2910,4029000
948,43711,600000,schedutil,97,2.81,2910,4005000
969,43443,600000,schedutil,97,2.79,2910,4025000
989,43443,600000,schedutil,97,2.84,2910,4026000
1010,43041,600000,schedutil,97,2.73,2910,4022000
1031,43510,600000,schedutil,97,2.78,2910,4007000
1051,43242,600000,schedutil,97,2.78,2910,4012000
1072,44113,600000,schedutil,96,2.64,2880,4020000
1092,43577,600000,schedutil,96,2.60,2880,4021000
1113,43778,600000,schedutil,96,2.59,2880,4017000
1133,40964,1008000,schedutil,96,2.56,2880,4014000
