uptime_s,temp_mc,khz,gov,batt,load1,charge_uah,volt_uv
105,38217,408000,schedutil,100,1.75,3000,4065000
126,38083,408000,schedutil,100,1.75,3000,4075000
147,38887,408000,schedutil,100,1.68,3000,4056000
168,38485,408000,schedutil,100,1.77,3000,4056000
188,38753,408000,schedutil,100,1.63,3000,4069000
209,39088,408000,schedutil,100,1.81,3000,4056000
230,38351,408000,schedutil,100,1.81,3000,4046000
250,38150,408000,schedutil,100,1.80,3000,4054000
271,38351,408000,schedutil,100,1.87,3000,4049000
292,38351,408000,schedutil,100,2.18,3000,4061000
313,39557,408000,schedutil,100,2.14,3000,4048000
333,37882,408000,schedutil,100,1.89,3000,4046000
354,39088,408000,schedutil,100,1.70,3000,4048000
375,38820,408000,schedutil,100,1.82,3000,4057000
396,39155,408000,schedutil,100,1.95,3000,4047000
416,38887,408000,schedutil,99,1.98,2970,4055000
437,39021,408000,schedutil,99,2.00,2970,4036000
458,39289,408000,schedutil,99,1.85,2970,4040000
479,38619,408000,schedutil,99,1.83,2970,4053000
499,39691,408000,schedutil,99,1.93,2970,4035000
520,39356,408000,schedutil,99,1.88,2970,4031000
541,38753,408000,schedutil,99,1.85,2970,4047000
561,39289,408000,schedutil,99,1.76,2970,4034000
582,39021,408000,schedutil,99,1.77,2970,4034000
