uptime_s,temp_mc,khz,gov,batt,load1,charge_uah,volt_uv
1766,37346,1416000,schedutil,72,1.67,2160,3793000
1786,36475,1200000,schedutil,72,1.69,2160,3794000
1807,36676,1008000,schedutil,72,1.56,2160,3801000
1827,37078,1008000,schedutil,72,1.63,2160,3789000
1848,36408,1008000,schedutil,72,1.66,2160,3799000
1868,36073,1008000,schedutil,72,1.67,2160,3811000
1889,36609,1008000,schedutil,72,1.64,2160,3794000
1909,36408,1008000,schedutil,71,1.58,2130,3798000
1930,38016,1416000,schedutil,71,1.77,2130,3776000
1950,37279,1416000,schedutil,71,1.84,2130,3797000
1970,37078,1416000,schedutil,71,2.16,2130,3800000
1991,36877,1200000,schedutil,71,2.23,2130,3793000
2012,36944,1008000,schedutil,71,2.30,2130,3797000
2032,35671,1008000,schedutil,71,2.43,2130,3795000
2053,36609,1008000,schedutil,71,2.25,2130,3798000
2073,36944,1008000,schedutil,71,2.34,2130,3772000
2094,36542,1008000,schedutil,71,2.46,2130,3801000
2114,36274,1008000,schedutil,71,2.34,2130,3781000
2135,36408,1008000,schedutil,71,2.18,2130,3799000
2155,36475,1008000,schedutil,71,2.21,2130,3787000
2176,35738,1008000,schedutil,71,2.34,2130,3794000
2196,36207,1008000,schedutil,71,2.23,2130,3794000
2217,36877,1008000,schedutil,71,2.10,2130,3763000
2237,36408,1008000,schedutil,71,2.21,2130,3790000
