uptime_s,temp_mc,khz,gov,batt,load1,charge_uah,volt_uv
660,41098,408000,schedutil,75,1.95,2250,3815000
681,40361,408000,schedutil,75,1.95,2250,3813000
702,40428,408000,schedutil,75,1.97,2250,3824000
722,40428,408000,schedutil,75,1.90,2250,3811000
743,40696,408000,schedutil,75,1.92,2250,3807000
764,40696,408000,schedutil,75,1.80,2250,3824000
784,40897,408000,schedutil,75,1.78,2250,3813000
805,40562,408000,schedutil,75,1.67,2250,3822000
826,40964,408000,schedutil,75,1.54,2250,3805000
847,41031,408000,schedutil,75,1.69,2250,3806000
868,40428,408000,schedutil,74,1.78,2220,3818000
888,40696,408000,schedutil,74,1.70,2220,3805000
909,41165,408000,schedutil,74,1.63,2220,3796000
930,40696,408000,schedutil,74,1.81,2220,3814000
951,40696,408000,schedutil,74,1.98,2220,3806000
971,41098,408000,schedutil,74,2.04,2220,3802000
992,40629,408000,schedutil,74,1.93,2220,3805000
1013,40830,408000,schedutil,74,1.94,2220,3798000
1034,40629,408000,schedutil,74,1.96,2220,3802000
1054,40696,408000,schedutil,74,2.04,2220,3813000
1075,40629,408000,schedutil,74,1.82,2220,3799000
1096,40696,408000,schedutil,74,1.80,2220,3799000
1117,40696,408000,schedutil,74,1.71,2220,3795000
1138,41031,408000,schedutil,74,1.59,2220,3792000
