uptime_s,temp_mc,khz,gov,batt,load1
675,37279,600000,schedutil,78,1.92
695,37279,600000,schedutil,78,2.18
716,36743,1008000,schedutil,78,2.34
736,36676,1008000,schedutil,78,2.17
756,36810,816000,schedutil,78,2.25
777,37346,1008000,schedutil,78,2.24
797,36944,1008000,schedutil,78,2.24
818,37078,1008000,schedutil,78,2.31
838,37748,1008000,schedutil,77,2.42
859,37212,1008000,schedutil,77,2.37
879,37681,1008000,schedutil,77,2.47
899,38150,1008000,schedutil,77,2.42
920,39021,1416000,schedutil,77,2.30
940,37748,1416000,schedutil,77,2.27
961,37949,600000,schedutil,77,2.28
981,38016,600000,schedutil,77,2.34
1002,37748,600000,schedutil,77,2.31
1022,37815,600000,schedutil,77,2.35
1043,37681,600000,schedutil,77,2.40
1063,37815,600000,schedutil,77,2.51
1084,38418,600000,schedutil,77,2.52
1104,37815,600000,schedutil,77,2.50
1125,37681,600000,schedutil,76,2.85
1145,38820,1416000,schedutil,76,2.90
