uptime_s,temp_mc,khz,gov,batt,load1
160,34331,408000,schedutil,82,1.48
180,34599,408000,schedutil,82,1.58
201,34800,408000,schedutil,82,1.56
222,35001,408000,schedutil,82,1.62
242,34800,408000,schedutil,82,1.60
263,35068,408000,schedutil,82,1.57
284,34934,408000,schedutil,82,1.47
304,34934,408000,schedutil,82,1.54
325,34867,408000,schedutil,82,1.64
346,34934,408000,schedutil,82,1.61
366,34800,408000,schedutil,82,1.65
387,35068,408000,schedutil,82,1.67
408,35135,408000,schedutil,82,1.83
428,35001,408000,schedutil,82,1.79
449,34733,408000,schedutil,82,1.78
470,35202,408000,schedutil,82,1.77
490,34800,408000,schedutil,81,1.87
511,35336,408000,schedutil,81,1.77
532,35269,408000,schedutil,81,1.69
552,35202,408000,schedutil,81,1.70
573,35001,408000,schedutil,81,1.63
593,35135,408000,schedutil,81,1.74
614,35269,408000,schedutil,81,1.76
635,35202,408000,schedutil,81,1.76
