uptime_s,temp_mc,khz,gov,batt,load1
109,35604,408000,schedutil,80,1.37
131,35403,408000,schedutil,80,1.39
152,35336,408000,schedutil,80,1.28
173,35805,408000,schedutil,80,1.42
194,35470,408000,schedutil,79,1.52
214,35403,408000,schedutil,79,1.58
235,35403,408000,schedutil,79,1.65
256,35336,408000,schedutil,79,1.61
277,35001,408000,schedutil,79,1.58
298,35403,408000,schedutil,79,1.78
319,35470,408000,schedutil,79,1.78
340,35537,408000,schedutil,79,1.77
360,35604,408000,schedutil,79,1.99
381,35336,408000,schedutil,79,1.93
402,35537,408000,schedutil,79,1.87
422,35671,408000,schedutil,79,1.92
443,35470,408000,schedutil,79,1.95
463,35939,408000,schedutil,79,1.90
485,35537,408000,schedutil,79,1.81
508,35336,408000,schedutil,78,1.79
529,35671,408000,schedutil,78,1.72
552,35604,408000,schedutil,78,1.61
574,35671,408000,schedutil,78,1.81
597,35604,408000,schedutil,78,1.87
