frame,n,p50_us,p95_us,p99_us,max_us,over,temp_c,cur_khz,volt_uv,curr_ua,power_mw,aud_q,aud_under,aud_over
60,60,2775,4004,8432,8432,0,33,408000,4057000,,,4220,0,0
120,60,2415,2497,2589,2589,0,33,408000,4069000,,,5335,0,0
180,60,2444,3957,3978,3978,0,33,408000,4066000,,,6450,0,0
240,60,4097,4256,4409,4409,0,33,408000,4069000,,,5517,0,0
300,60,2573,3680,3765,3765,0,33,408000,4063000,,,6632,0,0
360,60,3266,4210,4379,4379,0,33,408000,4066000,,,7747,0,0
420,60,3232,3392,4247,4247,0,33,408000,4067000,,,6814,0,0
480,60,3513,3649,3768,3768,0,33,408000,4063000,,,7929,0,0
540,60,3637,3759,3804,3804,0,33,408000,4068000,,,9044,0,0
600,60,3617,3777,3913,3913,0,33,408000,4063000,,,8111,0,0
660,60,3637,3802,3922,3922,0,33,408000,4067000,,,9226,0,0
720,60,3632,3692,3761,3761,0,33,408000,4055000,,,10341,0,0
780,60,3613,3703,3994,3994,0,33,408000,4065000,,,9408,0,0
840,60,3645,3737,3934,3934,0,33,408000,4065000,,,10523,0,0
900,60,3648,3752,3828,3828,0,33,408000,4066000,,,9590,0,0
960,60,3613,3742,3845,3845,0,33,408000,4066000,,,10705,0,0
1020,60,3615,3701,3744,3744,0,33,408000,4065000,,,9772,0,0
1080,60,3633,3705,3765,3765,0,33,408000,4065000,,,10887,0,0
1140,60,3643,3733,3842,3842,0,33,408000,4055000,,,12002,0,0
1200,60,3634,3753,4006,4006,0,33,408000,4064000,,,11069,0,2
1260,60,3650,3773,4389,4389,0,33,408000,4066000,,,12173,0,4
1320,60,3639,3752,4085,4085,0,33,408000,4066000,,,11237,0,3
1380,60,3647,4317,4658,4658,0,33,408000,4065000,,,12342,0,13
1440,60,3655,4904,5269,5269,0,32,408000,4062000,,,11384,0,30
1500,60,3636,4879,5568,5568,0,33,408000,4067000,,,12459,0,20
1560,60,3657,4760,5013,5013,0,33,408000,4063000,,,11473,0,30
1620,60,3635,5422,5649,5649,0,33,408000,4067000,,,12519,0,32
1680,60,3640,4491,5041,5041,0,33,408000,4052000,,,11504,0,23
1740,60,3645,5186,5378,5378,0,33,408000,4070000,,,12522,0,33
1800,60,3665,4410,5755,5755,0,33,408000,4065000,,,11477,0,18
1860,60,3657,4856,5067,5067,0,34,408000,4070000,,,12466,0,28
1920,60,3618,5289,5747,5747,0,33,408000,4067000,,,11393,0,37
1980,60,3663,4479,4614,4614,0,33,408000,4066000,,,12354,0,14
2040,60,3671,4805,4975,4975,0,33,408000,4063000,,,11252,0,26
2100,60,3645,5303,5563,5563,0,33,408000,4067000,,,12183,0,36
2160,60,3633,5161,5554,5554,0,33,408000,4066000,,,11052,0,27
2220,60,3673,4578,4841,4841,0,33,408000,4066000,,,11955,0,18
