frame,n,p50_us,p95_us,p99_us,max_us,over,temp_c,cur_khz,volt_uv,curr_ua,power_mw,aud_q,aud_under,aud_over
60,60,2687,3853,8073,8073,0,33,408000,4074000,,,4220,0,0
120,60,2287,2368,2379,2379,0,33,408000,4076000,,,5335,0,0
180,60,2340,3824,3864,3864,0,33,408000,4069000,,,6450,0,0
240,60,4039,4130,4366,4366,0,32,408000,4076000,,,5517,0,0
300,60,2536,3576,3670,3670,0,33,408000,4071000,,,6632,0,0
360,60,3137,4091,4272,4272,0,33,408000,4062000,,,7747,0,0
420,60,3111,3301,4012,4012,0,33,408000,4072000,,,6814,0,0
480,60,3394,3537,3562,3562,0,33,408000,4071000,,,7929,0,0
540,60,3506,3603,3664,3664,0,33,408000,4071000,,,9044,0,0
600,60,3487,3568,3614,3614,0,33,408000,4072000,,,8111,0,0
660,60,3490,3579,3700,3700,0,33,408000,4073000,,,9226,0,0
720,60,3505,3608,3623,3623,0,33,408000,4071000,,,10341,0,0
780,60,3482,3604,3681,3681,0,33,408000,4063000,,,9408,0,0
840,60,3511,3650,3689,3689,0,33,408000,4071000,,,10523,0,0
900,60,3482,3587,3651,3651,0,33,408000,4073000,,,9590,0,0
960,60,3481,3598,3662,3662,0,33,408000,4072000,,,10705,0,0
1020,60,3490,3581,3651,3651,0,33,408000,4072000,,,11820,0,0
1080,60,3509,3639,3960,3960,0,33,408000,4062000,,,10887,0,3
1140,60,3502,4300,4567,4567,0,33,408000,4067000,,,11991,0,16
1200,60,3528,4885,5241,5241,0,34,408000,4073000,,,13081,0,30
1260,60,3527,4872,5530,5530,0,33,408000,4069000,,,12109,0,26
1320,60,3535,4919,5339,5339,0,33,408000,4073000,,,11122,0,33
1380,60,3518,4878,5523,5523,0,33,408000,4069000,,,12169,0,22
1440,60,3539,4691,5116,5116,0,33,408000,4076000,,,11153,0,26
1500,60,3506,4600,4906,4906,0,33,600000,4061000,,,12171,0,21
1560,60,3506,4332,4727,4727,0,33,408000,4064000,,,11127,0,18
1620,60,3542,4884,5080,5080,0,33,408000,4067000,,,12116,0,29
1680,60,3519,5063,5369,5369,0,33,408000,4060000,,,11043,0,26
1740,60,3539,4419,4535,4535,0,33,408000,4071000,,,12003,0,20
1800,60,3514,4640,4917,4917,0,33,408000,4071000,,,12949,0,26
1860,60,3479,5161,5497,5497,0,34,408000,4072000,,,11833,0,36
1920,60,3520,4041,4431,4431,0,33,408000,4070000,,,12750,0,12
1980,60,3494,4340,4589,4589,0,34,408000,4060000,,,11605,0,22
2040,60,3573,4729,4973,4973,0,33,408000,4073000,,,12494,0,30
2100,60,3516,5033,5187,5187,0,33,408000,4069000,,,11320,0,36
2160,60,3496,4146,5475,5475,0,33,408000,4070000,,,12180,0,17
2220,60,3531,4101,4398,4398,0,33,408000,4069000,,,13026,0,14
2280,60,3521,4361,4531,4531,0,34,408000,4069000,,,11809,0,20
2340,60,3537,4645,5002,5002,0,33,408000,4070000,,,12626,0,26
2400,60,3501,4796,5040,5040,0,33,408000,4060000,,,11381,0,32
2460,60,3566,4921,5189,5189,0,33,408000,4072000,,,12169,0,34
2520,60,3518,4935,5191,5191,0,33,408000,4067000,,,12943,0,36
2580,60,3478,5246,5383,5383,0,33,408000,4069000,,,11655,0,39
2640,60,3560,5080,5561,5561,0,33,408000,4065000,,,12401,0,31
2700,60,3534,3801,3980,3980,0,33,408000,4072000,,,11084,0,9
2760,60,3464,3737,3844,3844,0,33,408000,4058000,,,11801,0,8
2820,60,3515,3891,4125,4125,0,33,408000,4071000,,,12504,0,9
2880,60,3496,3852,4106,4106,0,33,408000,4067000,,,11145,0,10
2940,60,3487,3813,4019,4019,0,33,408000,4070000,,,11820,0,9
3000,60,3493,3760,3974,3974,0,33,408000,4069000,,,12480,0,6
3060,60,3467,3595,3755,3755,0,33,408000,4067000,,,11079,0,4
3120,60,3479,3596,3668,3668,0,33,408000,4070000,,,11718,0,3
3180,60,3480,3607,3667,3667,0,33,408000,4059000,,,12350,0,2
3240,60,3466,3575,3597,3597,0,33,408000,4071000,,,10941,0,0
3300,60,3489,3599,3674,3674,0,33,408000,4069000,,,11595,0,0
3360,60,3479,3622,3740,3740,0,33,408000,4070000,,,12262,0,0
3420,60,3489,3601,3778,3778,0,33,408000,4059000,,,10896,0,0
3480,60,3505,3626,3777,3777,0,33,408000,4059000,,,11592,0,0
3540,60,3528,3675,3714,3714,0,33,408000,4071000,,,12302,0,0
3600,60,3496,3583,3661,3661,0,33,408000,4067000,,,10979,0,0
3660,60,3499,3648,3735,3735,0,33,600000,4070000,,,11717,0,0
3720,60,3495,3598,3724,3724,0,33,408000,4068000,,,10422,0,0
3780,60,3506,3575,3659,3659,0,33,408000,4067000,,,11189,0,0
3840,60,3500,3583,3606,3606,0,33,408000,4069000,,,11970,0,0
3900,60,3500,3609,3668,3668,0,34,408000,4069000,,,10718,0,2
3960,60,3515,3647,3705,3705,0,33,408000,4070000,,,11513,0,2
4020,60,3497,3703,3898,3898,0,33,408000,4068000,,,12302,0,5
4080,60,3495,3653,3930,3930,0,33,408000,4068000,,,11028,0,7
4140,60,3502,3841,3982,3982,0,32,408000,4067000,,,11788,0,10
4200,60,3518,4142,4191,4191,0,33,408000,4070000,,,12533,0,9
4260,60,3514,4113,4573,4573,0,33,408000,4068000,,,11217,0,10
4320,60,5223,7312,8446,8446,0,33,600000,4065000,,,11934,0,11
4380,60,5435,7401,7519,7519,0,33,600000,4051000,,,12637,0,9
4440,60,5402,7320,7534,7534,0,33,600000,4064000,,,11278,0,10
4500,60,5403,7216,7435,7435,0,33,600000,4064000,,,11953,0,7
4560,60,5401,6703,7282,7282,0,33,408000,4064000,,,12613,0,6
4620,60,5465,7396,8939,8939,0,33,600000,4065000,,,11211,0,6
4680,60,5390,7367,7422,7422,0,33,600000,4061000,,,11851,0,3
4740,60,5408,6976,7073,7073,0,33,408000,4064000,,,12490,0,0
4800,60,6472,6969,7022,7022,0,34,408000,4064000,,,11095,0,0
4860,60,6908,7078,7138,7138,0,33,408000,4064000,,,11763,0,0
4920,60,5139,7085,7194,7194,0,33,600000,4063000,,,12445,0,0
