frame,n,p50_us,p95_us,p99_us,max_us,over,temp_c,cur_khz,volt_uv,curr_ua,power_mw,aud_q,aud_under,aud_over
60,60,7696,8906,9938,9938,0,34,1008000,4048000,,,5472,0,0
120,60,7691,11978,15557,15557,0,34,816000,4048000,,,6584,0,0
180,60,7712,8839,10259,10259,0,34,816000,4040000,,,5652,0,0
240,60,8342,11367,21560,21560,2,34,1008000,4050000,,,6768,0,0
300,60,7752,9282,11622,11622,0,34,816000,4049000,,,5836,0,0
360,60,8107,10635,11554,11554,0,35,816000,4038000,,,6948,0,0
420,60,7941,9178,9970,9970,0,34,816000,4039000,,,8064,0,0
480,60,10668,12745,13605,13605,0,34,408000,4047000,,,7132,0,0
540,60,10892,13362,21047,21047,2,34,600000,4039000,,,8248,0,0
600,60,10864,13458,14039,14039,0,34,600000,4037000,,,7312,0,0
660,60,10850,12388,14072,14072,0,34,600000,4045000,,,8428,0,0
720,60,10880,13755,14419,14419,0,34,600000,4048000,,,9544,0,0
780,60,10864,12175,13159,13159,0,34,600000,4045000,,,8612,0,0
840,60,10866,13065,13915,13915,0,34,600000,4047000,,,9724,0,0
900,60,10876,13122,14047,14047,0,35,600000,4046000,,,8792,0,0
960,60,10843,13195,14390,14390,0,34,600000,4047000,,,9908,0,0
1020,60,10893,13036,14363,14363,0,35,600000,4046000,,,11024,0,0
1080,60,10868,12642,13439,13439,0,34,600000,4046000,,,10088,0,0
1140,60,10855,12788,13023,13023,0,34,600000,4047000,,,11204,0,0
1200,60,10902,12935,14120,14120,0,34,600000,4046000,,,12320,0,0
1260,60,10882,12625,13080,13080,0,34,600000,4047000,,,11388,0,0
1320,60,10837,13316,20134,20134,2,34,600000,4044000,,,12497,0,3
1380,60,10882,13290,14029,14029,0,34,600000,4038000,,,11565,0,0
1440,60,10783,12777,14291,14291,0,34,600000,4046000,,,12677,0,8
1500,60,10587,12695,14352,14352,0,34,600000,4043000,,,11727,0,19
1560,60,10761,11979,12559,12559,0,34,600000,4046000,,,12808,0,11
1620,60,10678,12533,12637,12637,0,34,600000,4043000,,,11829,0,18
1680,60,10760,12791,13481,13481,0,34,600000,4046000,,,12884,0,11
1740,60,10811,12543,14140,14140,0,34,600000,4045000,,,11876,0,12
1800,60,10794,13346,20599,20599,2,34,600000,4039000,,,12899,0,12
1860,60,10716,12314,13939,13939,0,34,600000,4044000,,,11863,0,11
1920,60,10696,12585,13696,13696,0,35,600000,4048000,,,12859,0,18
1980,60,10817,13548,14677,14677,0,34,408000,4044000,,,11794,0,3
2040,60,10882,13865,20681,20681,2,34,600000,4045000,,,12767,0,0
2100,60,10861,13233,13878,13878,0,34,600000,4035000,,,11709,0,0
2160,60,10824,13257,14343,14343,0,34,600000,4044000,,,12706,0,4
2220,60,10784,13146,14508,14508,0,34,600000,4047000,,,11641,0,11
2280,60,10306,12531,13953,13953,0,34,600000,4041000,,,12606,0,20
2340,60,10890,13171,13833,13833,0,34,600000,4047000,,,11512,0,6
2400,60,10856,12873,20020,20020,2,34,600000,4044000,,,12451,0,5
2460,60,10858,13267,14502,14502,0,34,600000,4046000,,,11350,0,0
2520,60,10847,12936,14154,14154,0,34,600000,4046000,,,12308,0,3
2580,60,10641,12417,12987,12987,0,35,600000,4044000,,,11214,0,10
2640,60,10678,12781,14688,14688,0,34,600000,4046000,,,12154,0,12
2700,60,10654,12426,14458,14458,0,35,600000,4045000,,,13079,0,18
2760,60,10695,12709,13523,13523,0,34,600000,4036000,,,11939,0,6
2820,60,10589,12491,13572,13572,0,34,600000,4045000,,,12835,0,11
2880,60,10354,12415,13469,13469,0,35,600000,4045000,,,11669,0,16
2940,60,10218,10953,12547,12547,0,34,600000,4047000,,,12537,0,22
3000,60,10663,12591,13237,13237,0,34,600000,4033000,,,11340,0,13
3060,60,10734,13490,14507,14507,0,34,600000,4046000,,,12179,0,6
3120,60,10631,12958,13255,13255,0,34,600000,4032000,,,13004,0,10
3180,60,10606,13245,13805,13805,0,34,600000,4035000,,,11767,0,9
3240,60,10515,13078,14279,14279,0,34,600000,4043000,,,12560,0,13
3300,60,10675,13239,20244,20244,2,34,600000,4050000,,,11294,0,9
3360,60,10760,13382,14315,14315,0,34,600000,4033000,,,12083,0,0
3420,60,10759,13862,19782,19782,2,34,600000,4035000,,,10838,0,0
3480,60,10827,13057,14348,14348,0,34,600000,4035000,,,11653,0,0
3540,60,10875,13241,20582,20582,2,34,600000,4035000,,,10437,0,0
3600,60,10877,13949,14368,14368,0,34,600000,4044000,,,11284,0,0
