frame,n,p50_us,p95_us,p99_us,max_us,over,temp_c,cur_khz,volt_uv,curr_ua,power_mw,aud_q,aud_under,aud_over
60,60,7216,8944,10048,10048,0,34,816000,4046000,,,5472,0,0
120,60,7688,9412,10354,10354,0,34,816000,4053000,,,6584,0,0
180,60,7685,8879,10288,10288,0,33,1008000,4051000,,,7700,0,0
240,60,7808,11150,21244,21244,2,34,1200000,4046000,,,6768,0,0
300,60,6765,9894,12826,12826,0,34,816000,4056000,,,7884,0,0
360,60,8041,11181,18141,18141,1,34,816000,4055000,,,6948,0,0
420,60,7962,9351,9536,9536,0,34,600000,4055000,,,6016,0,0
480,60,10702,13410,14081,14081,0,34,600000,4046000,,,7132,0,0
540,60,10871,12813,13905,13905,0,34,600000,4053000,,,8248,0,0
600,60,10863,13418,14004,14004,0,34,600000,4053000,,,7312,0,0
660,60,10840,13410,14162,14162,0,34,600000,4054000,,,8428,0,0
720,60,10866,13890,14460,14460,0,34,600000,4054000,,,9544,0,0
780,60,10835,13063,14415,14415,0,34,600000,4052000,,,8612,0,0
840,60,10867,13318,14000,14000,0,34,600000,4053000,,,9724,0,0
900,60,10837,13374,13955,13955,0,34,408000,4054000,,,10840,0,0
960,60,10833,13951,20510,20510,2,34,408000,4053000,,,9908,0,0
1020,60,10876,13431,20313,20313,2,34,600000,4056000,,,8976,0,0
1080,60,10847,14192,20712,20712,2,34,408000,4051000,,,10088,0,0
1140,60,10822,13045,20491,20491,2,34,600000,4054000,,,9156,0,0
1200,60,10894,13128,14234,14234,0,34,408000,4054000,,,8224,0,0
1260,60,10865,13195,20891,20891,2,34,600000,4054000,,,9340,0,0
1320,60,10870,13562,14561,14561,0,34,600000,4055000,,,8404,0,0
1380,60,10861,13191,14306,14306,0,34,600000,4051000,,,9520,0,0
1440,60,10860,13657,14259,14259,0,34,600000,4045000,,,10636,0,0
1500,60,10877,13626,14234,14234,0,34,600000,4053000,,,9704,0,0
1560,60,10858,13652,14153,14153,0,35,600000,4056000,,,10816,0,0
1620,60,10890,13309,14649,14649,0,34,600000,4053000,,,11932,0,0
1680,60,10874,12537,14536,14536,0,34,600000,4051000,,,11000,0,0
1740,60,10868,13249,14061,14061,0,34,600000,4055000,,,12115,0,0
1800,60,10878,12956,13205,13205,0,34,600000,4052000,,,11180,0,3
1860,60,10742,12773,13660,13660,0,34,600000,4053000,,,12286,0,11
1920,60,10745,12227,14169,14169,0,34,600000,4052000,,,11328,0,15
1980,60,10677,12134,14011,14011,0,34,600000,4051000,,,12405,0,11
2040,60,10878,13450,14546,14546,0,34,600000,4053000,,,11416,0,1
